zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile)
10001,22924.0,1500.0,1687.0,14422.0,62349.0,113382.0,1413.0,36.7,12431.0,1.8440994288472400,34368.078180000000
10002,74993.0,4100.0,7645.0,24168.0,20295.0,40487.0,6283.0,43.6,33540.0,2.23592725104353,92722.09567000000
10003,54682.0,3600.0,3491.0,41511.0,68414.0,181132.0,3178.0,32.3,26124.0,2.093171030470070,97263.88889
10004,3028.0,250.0,67.0,1902.0,105452.0,201761.0,51.0,37.1,1659.0,1.8251959011452700,5516.071429
10005,8831.0,450.0,327.0,6484.0,95137.0,235700.0,221.0,30.1,4374.0,2.0189757658893500,100492.9577
10006,3454.0,200.0,71.0,2411.0,99718.0,200859.0,36.0,31.8,1794.0,1.9253065774804900,32728.26087
10007,7023.0,400.0,387.0,5421.0,107138.0,250001.0,332.0,36.0,2731.0,2.571585499816920,43135.80247
10009,57925.0,2400.0,6539.0,35817.0,44302.0,62844.0,5431.0,37.1,29728.0,1.9484997308934300,99427.87682
10010,33730.0,1600.0,2108.0,24684.0,78566.0,213813.0,1784.0,34.7,16390.0,2.057962172056130,81625.64103
10011,50472.0,2300.0,3582.0,40331.0,83012.0,215417.0,2819.0,40.6,29128.0,1.7327657237022800,77131.61876
10012,23411.0,1500.0,977.0,17411.0,73118.0,158730.0,651.0,33.9,12041.0,1.9442737314176600,74582.04334
10013,28709.0,1800.0,1546.0,15961.0,51061.0,136146.0,1260.0,38.0,11986.0,2.3952110795928600,50363.636360000000
10014,30738.0,1600.0,529.0,27314.0,83793.0,201452.0,336.0,38.3,18229.0,1.6862142739590800,58107.27273
10016,51057.0,2100.0,2744.0,36727.0,79903.0,200054.0,1929.0,33.5,28916.0,1.7657006501590800,101847.7444
10017,15801.0,650.0,478.0,11683.0,84724.0,201087.0,370.0,39.7,9905.0,1.5952549217566900,52287.06625
10018,9687.0,650.0,561.0,5791.0,75387.0,143512.0,466.0,32.8,5095.0,1.9012757605495600,16239.130430000000
10019,43703.0,2100.0,3144.0,29663.0,68093.0,162666.0,2553.0,39.5,25428.0,1.7186959257511400,62401.74672
10020,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,0.0,0.0
10021,46215.0,1400.0,681.0,38017.0,83930.0,233328.0,420.0,41.0,24996.0,1.848895823331730,115121.37200000000
10022,31125.0,1500.0,732.0,26028.0,91794.0,250001.0,448.0,47.5,18049.0,1.7244722699318500,74588.78505
10023,62435.0,2400.0,3088.0,49795.0,86604.0,219667.0,2610.0,43.3,33693.0,1.8530555308224300,124232.1792
10024,59001.0,2300.0,2744.0,49026.0,75606.0,221774.0,2287.0,43.1,28751.0,2.052137316962890,69094.40559
10025,92805.0,4000.0,14041.0,59985.0,49192.0,132719.0,11737.0,41.3,41910.0,2.214387974230490,125797.8723
10026,39363.0,2100.0,22257.0,10410.0,35334.0,60513.0,21023.0,35.1,15458.0,2.546448440936730,102418.6747
10027,64548.0,4300.0,26969.0,19706.0,29146.0,54083.0,25484.0,31.0,23811.0,2.7108479274285000,68707.71001
10028,47793.0,2100.0,881.0,41217.0,79134.0,236313.0,604.0,38.9,25318.0,1.8877083497906600,144220.4473
10029,79597.0,4000.0,25714.0,26896.0,20002.0,39282.0,24699.0,35.1,31690.0,2.5117387188387500,93599.75369
10030,29882.0,1300.0,20149.0,5038.0,24046.0,49595.0,18842.0,36.1,12736.0,2.3462625628140700,96770.60932
10031,60254.0,2500.0,26486.0,17917.0,25155.0,50820.0,17982.0,34.2,21959.0,2.7439318730361100,86961.4792
10032,64264.0,2800.0,14433.0,19122.0,22186.0,54404.0,12373.0,34.7,21222.0,3.0281783055320000,87394.81707
10033,59607.0,2800.0,8637.0,24141.0,24878.0,59913.0,6195.0,35.8,19652.0,3.033126399348670,90177.25753000000
10034,42910.0,2100.0,5989.0,16463.0,25312.0,55665.0,4965.0,36.4,16095.0,2.666045355700530,35728.191
10035,35743.0,2100.0,15618.0,7246.0,18718.0,36792.0,14580.0,36.3,14428.0,2.4773357360687600,23972.47706
10036,27428.0,1300.0,2326.0,17319.0,61935.0,151935.0,1978.0,36.7,16183.0,1.6948649817709900,56034.01361
10037,21139.0,950.0,15990.0,2291.0,30791.0,46132.0,15206.0,35.3,9731.0,2.172335833932790,67766.53696
10038,22800.0,1400.0,2461.0,11784.0,51233.0,87261.0,2128.0,36.2,10210.0,2.2331047992164500,67666.66667
