,MOD ZCTA,Population,Population_from_NYCHealth,Sample Count,Black or Black and other races,White,Median Income,Median Family Income,Median Age,Average Unit Size,NH/ACF Deaths,COVID Case Count,COVID Death Count,Total COVID Tests,Percent Positive,Death Rate,Case Rate,Borough,Neighborhood Name,Deaths less NH/ACF Deaths
0,10001,23072.0,23563.03,0.0,1687.0,14492.0,62349.0,113382.0,36.7,1.844099428847240,0.0,377,21,2754,0.13689179375453900,0.0009101941747572820,0.01634015256588070,Manhattan,Chelsea/NoMad/West Chelsea,21.0
1,10002,74993.0,76755.41,4100.0,7645.0,24168.0,20295.0,40487.0,43.6,2.2359272510435300,25.0,1065,152,5616,0.18963675213675200,0.0020268558398783900,0.014201325457042700,Manhattan,Chinatown/Lower East Side,127.0
2,10003,54682.0,53801.62,3600.0,3491.0,41511.0,68414.0,181132.0,32.3,2.093171030470070,0.0,453,33,4167,0.10871130309575200,0.0006034892652061010,0.008284261731465570,Manhattan,East Village/Gramercy/Greenwich Village,33.0
3,10004,3028.0,3650.61,250.0,67.0,1902.0,105452.0,201761.0,37.1,1.8251959011452700,0.0,32,1,289,0.11072664359861600,0.00033025099075297200,0.010568031704095100,Manhattan,Financial District,1.0
4,10005,8831.0,8396.11,450.0,327.0,6484.0,95137.0,235700.0,30.100000000000000,2.0189757658893500,0.0,63,2,629,0.10015898251192400,0.00022647491790284200,0.007133959913939530,Manhattan,Financial District,2.0
5,10006,3454.0,3457.77,200.0,71.0,2411.0,99718.0,200859.0,31.8,1.9253065774804900,0.0,26,0,286,0.09090909090909090,0.0,0.007527504342790970,Manhattan,Financial District,0.0
6,10007,7066.0,8249.73,0.0,387.0,5464.0,107138.0,250001.0,36.0,2.5715854998169200,0.0,60,3,695,0.08633093525179860,0.00042456835550523600,0.008491367110104730,Manhattan,TriBeCa,3.0
7,10009,57925.0,58747.99,2400.0,6539.0,35817.0,44302.0,62844.0,37.1,1.9484997308934300,0.0,700,66,5184,0.13503086419753100,0.0011394044022442800,0.012084592145015100,Manhattan,Alphabet City/East Village/Stuyvesant Town-Cooper Village,66.0
8,10010,33730.0,32371.86,1600.0,2108.0,24684.0,78566.0,213813.0,34.7,2.057962172056130,0.0,270,20,3106,0.08692852543464260,0.0005929439667951380,0.008004743551734360,Manhattan,Flatiron/Gramercy/Kips Bay,20.0
9,10011,50472.0,49500.52,2300.0,3582.0,40331.0,83012.0,215417.0,40.6,1.7327657237022800,0.0,523,37,4354,0.12011943040881900,0.0007330797273735930,0.010362181011253800,Manhattan,Chelsea,37.0
10,10012,23411.0,23981.2,1500.0,977.0,17411.0,73118.0,158730.0,33.9,1.9442737314176600,0.0,163,9,1624,0.10036945812807900,0.0003844346674640130,0.0069625389774037800,Manhattan,Greenwich Village/SoHo,9.0
11,10013,28709.0,29031.09,1800.0,1546.0,15961.0,51061.0,136146.0,38.0,2.3952110795928600,0.0,262,20,2435,0.10759753593429200,0.0006966456511895220,0.009126058030582740,Manhattan,Hudson Square/Little Italy/SoHo/TriBeCa,20.0
12,10014,30738.0,31043.16,1600.0,529.0,27314.0,83793.0,201452.0,38.3,1.6862142739590800,2.0,303,24,2731,0.11094837056023400,0.0007807925043919580,0.009857505367948470,Manhattan,Hudson Square/Meatpacking District/West Village,22.0
13,10016,51057.0,52524.35,2100.0,2744.0,36727.0,79903.0,200054.0,33.5,1.7657006501590800,0.0,699,48,5713,0.12235252931909700,0.0009401257418179680,0.013690581115224200,Manhattan,Kips Bay/Murray Hill/NoMad,48.0
14,10017,15801.0,16127.22,650.0,478.0,11683.0,84724.0,201087.0,39.7,1.5952549217566900,0.0,144,6,1432,0.1005586592178770,0.00037972280235428100,0.009113347256502750,Manhattan,East Midtown/Murray Hill,6.0
15,10018,9687.0,9531.44,650.0,561.0,5791.0,75387.0,143512.0,32.8,1.9012757605495600,0.0,205,3,1435,0.14285714285714300,0.0003096934035305050,0.021162382574584500,Manhattan,Hell's Kitchen/Midtown Manhattan,3.0
16,10019,43703.0,40631.45,2100.0,3144.0,29663.0,68093.0,162666.0,39.5,1.7186959257511400,0.0,611,43,4516,0.13529672276350800,0.0009839141477701760,0.013980733588083200,Manhattan,Hell's Kitchen/Midtown Manhattan,43.0
17,10021,46215.0,44175.61,1400.0,681.0,38017.0,83930.0,233328.0,41.0,1.8488958233317300,38.0,568,64,4762,0.11927761444771100,0.0013848317645786,0.012290381910635100,Manhattan,Lenox Hill/Upper East Side,26.0
18,10022,31125.0,30334.8,1500.0,732.0,26028.0,91794.0,250001.0,47.5,1.7244722699318500,0.0,341,26,3078,0.11078622482131300,0.0008353413654618470,0.010955823293172700,Manhattan,East Midtown,26.0
19,10023,62435.0,60274.81,2400.0,3088.0,49795.0,86604.0,219667.0,43.3,1.853055530822430,0.0,565,52,5347,0.10566672900692000,0.0008328661808280610,0.009049411387843360,Manhattan,Lincoln Square,52.0
20,10024,59001.0,57337.68,2300.0,2744.0,49026.0,75606.0,221774.0,43.1,2.052137316962890,69.0,710,68,5514,0.1287631483496550,0.001152522838595960,0.012033694344163700,Manhattan,Upper West Side,-1.0
21,10025,92805.0,92333.47,4000.0,14041.0,59985.0,49192.0,132719.0,41.3,2.2143879742304900,116.0,1362,167,9655,0.14106680476437100,0.0017994720112062900,0.014675933408760300,Manhattan,Manhattan Valley/Morningside Heights/Upper West Side,51.0
22,10026,39363.0,39018.03,2100.0,22257.0,10410.0,35334.0,60513.0,35.1,2.546448440936730,0.0,643,39,3482,0.18466398621481900,0.0009907781419099150,0.016335137057643000,Manhattan,Central Harlem (South),39.0
23,10027,64548.0,63631.04,4300.0,26969.0,19706.0,29146.0,54083.0,31.0,2.7108479274285,0.0,1040,103,5272,0.19726858877086500,0.001595711718411110,0.01611204065191800,Manhattan,Central Harlem (South)/Morningside Heights/West Harlem,103.0
24,10028,47793.0,49155.08,2100.0,881.0,41217.0,79134.0,236313.0,38.9,1.8877083497906600,0.0,476,30,4171,0.11412131383361300,0.0006277069863787580,0.009959617517209630,Manhattan,Upper East Side/Yorkville,30.0
25,10029,79597.0,78841.52,4000.0,25714.0,26896.0,20002.0,39282.0,35.1,2.5117387188387500,34.0,1825,198,8290,0.22014475271411300,0.0024875309370956200,0.022927999798987400,Manhattan,East Harlem,164.0
26,10030,29882.0,29321.91,1300.0,20149.0,5038.0,24046.0,49595.0,36.1,2.3462625628140700,0.0,503,52,2492,0.20184590690208700,0.001740178033598820,0.016832875978850100,Manhattan,Central Harlem (North),52.0
27,10031,60254.0,60556.93,2500.0,26486.0,17917.0,25155.0,50820.0,34.2,2.7439318730361100,0.0,1331,120,6293,0.2115048466550140,0.0019915690244631100,0.022089819763003300,Manhattan,Hamilton Heights/West Harlem,120.0
