,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months
0,10001,22924.0,1500,1687.0,14422.0,62349.0,113382.0
1,10002,74993.0,4100,7645.0,24168.0,20295.0,40487.0
2,10003,54682.0,3600,3491.0,41511.0,68414.0,181132.0
3,10004,3028.0,250,67.0,1902.0,105452.0,201761.0
4,10005,8831.0,450,327.0,6484.0,95137.0,235700.0
5,10006,3454.0,200,71.0,2411.0,99718.0,200859.0
6,10007,7023.0,400,387.0,5421.0,107138.0,250001.0
7,10009,57925.0,2400,6539.0,35817.0,44302.0,62844.0
8,10010,33730.0,1600,2108.0,24684.0,78566.0,213813.0
9,10011,50472.0,2300,3582.0,40331.0,83012.0,215417.0
10,10012,23411.0,1500,977.0,17411.0,73118.0,158730.0
11,10013,28709.0,1800,1546.0,15961.0,51061.0,136146.0
12,10014,30738.0,1600,529.0,27314.0,83793.0,201452.0
13,10016,51057.0,2100,2744.0,36727.0,79903.0,200054.0
14,10017,15801.0,650,478.0,11683.0,84724.0,201087.0
15,10018,9687.0,650,561.0,5791.0,75387.0,143512.0
16,10019,43703.0,2100,3144.0,29663.0,68093.0,162666.0
17,10020,0.0,0,0.0,0.0,-666666666.0,-666666666.0
18,10021,46215.0,1400,681.0,38017.0,83930.0,233328.0
19,10022,31125.0,1500,732.0,26028.0,91794.0,250001.0
20,10023,62435.0,2400,3088.0,49795.0,86604.0,219667.0
21,10024,59001.0,2300,2744.0,49026.0,75606.0,221774.0
22,10025,92805.0,4000,14041.0,59985.0,49192.0,132719.0
23,10026,39363.0,2100,22257.0,10410.0,35334.0,60513.0
24,10027,64548.0,4300,26969.0,19706.0,29146.0,54083.0
25,10028,47793.0,2100,881.0,41217.0,79134.0,236313.0
26,10029,79597.0,4000,25714.0,26896.0,20002.0,39282.0
27,10030,29882.0,1300,20149.0,5038.0,24046.0,49595.0
28,10031,60254.0,2500,26486.0,17917.0,25155.0,50820.0
29,10032,64264.0,2800,14433.0,19122.0,22186.0,54404.0
30,10033,59607.0,2800,8637.0,24141.0,24878.0,59913.0
31,10034,42910.0,2100,5989.0,16463.0,25312.0,55665.0
32,10035,35743.0,2100,15618.0,7246.0,18718.0,36792.0
33,10036,27428.0,1300,2326.0,17319.0,61935.0,151935.0
34,10037,21139.0,950,15990.0,2291.0,30791.0,46132.0
35,10038,22800.0,1400,2461.0,11784.0,51233.0,87261.0
36,10039,27726.0,1200,18406.0,3625.0,23456.0,44213.0
37,10040,44571.0,2200,6355.0,16091.0,22343.0,52870.0
38,10044,11682.0,650,1541.0,5320.0,54798.0,125625.0
39,10065,28109.0,1500,662.0,24285.0,81125.0,228333.0
40,10069,5085.0,200,197.0,3155.0,95592.0,179803.0
41,10075,21556.0,600,743.0,18396.0,73626.0,176707.0
42,10103,0.0,0,0.0,0.0,-666666666.0,-666666666.0
43,10110,0.0,0,0.0,0.0,-666666666.0,-666666666.0
44,10111,0.0,0,0.0,0.0,-666666666.0,-666666666.0
45,10112,0.0,0,0.0,0.0,-666666666.0,-666666666.0
46,10115,0.0,0,0.0,0.0,-666666666.0,-666666666.0
47,10119,0.0,0,0.0,0.0,-666666666.0,-666666666.0
48,10128,59256.0,2800,2808.0,47167.0,71120.0,197813.0
49,10152,0.0,0,0.0,0.0,-666666666.0,-666666666.0
50,10153,0.0,0,0.0,0.0,-666666666.0,-666666666.0
51,10154,0.0,0,0.0,0.0,-666666666.0,-666666666.0
52,10162,1584.0,40,0.0,1457.0,112011.0,250001.0
53,10165,0.0,0,0.0,0.0,-666666666.0,-666666666.0
54,10167,0.0,0,0.0,0.0,-666666666.0,-666666666.0
55,10168,0.0,0,0.0,0.0,-666666666.0,-666666666.0
56,10169,0.0,0,0.0,0.0,-666666666.0,-666666666.0
57,10170,0.0,0,0.0,0.0,-666666666.0,-666666666.0
58,10171,0.0,0,0.0,0.0,-666666666.0,-666666666.0
59,10172,0.0,0,0.0,0.0,-666666666.0,-666666666.0
60,10173,0.0,0,0.0,0.0,-666666666.0,-666666666.0
61,10174,0.0,0,0.0,0.0,-666666666.0,-666666666.0
62,10177,0.0,0,0.0,0.0,-666666666.0,-666666666.0
63,10199,148.0,,0.0,70.0,-666666666.0,-666666666.0
64,10271,0.0,0,0.0,0.0,-666666666.0,-666666666.0
65,10278,0.0,0,0.0,0.0,-666666666.0,-666666666.0
66,10279,43.0,,0.0,43.0,-666666666.0,-666666666.0
67,10280,9384.0,450,330.0,7360.0,105321.0,212279.0
68,10282,5593.0,300,61.0,4153.0,147538.0,250001.0
69,10301,38733.0,3200,11640.0,22280.0,30868.0,74412.0
70,10302,18204.0,1300,4029.0,11286.0,32679.0,85781.0
71,10303,25947.0,1800,9784.0,11406.0,30820.0,67360.0
72,10304,41064.0,2400,11936.0,21403.0,28509.0,73592.0
73,10305,42298.0,3100,3239.0,31174.0,36477.0,89040.0
74,10306,53142.0,3800,2597.0,45560.0,38658.0,93895.0
75,10307,15232.0,1000,56.0,14284.0,44603.0,98897.0
76,10308,30186.0,1900,439.0,27810.0,44360.0,104497.0
77,10309,33531.0,1800,313.0,30789.0,44599.0,114083.0
78,10310,23262.0,2100,5401.0,13731.0,37543.0,83775.0
79,10311,0.0,0,0.0,0.0,-666666666.0,-666666666.0
80,10312,61741.0,4400,1046.0,56226.0,42198.0,107874.0
81,10314,90761.0,6400,4427.0,66310.0,39054.0,101501.0
82,10451,47798.0,2500,20867.0,5972.0,19450.0,34974.0
83,10452,76078.0,3800,27616.0,9592.0,17669.0,31631.0
84,10453,79606.0,4800,27063.0,6841.0,16571.0,29433.0
85,10454,38203.0,2300,12941.0,5040.0,15778.0,27006.0
86,10455,42283.0,2600,13540.0,5221.0,17440.0,31884.0
87,10456,94218.0,4900,42254.0,10146.0,16558.0,32881.0
88,10457,74554.0,4900,31654.0,11452.0,16871.0,33299.0
