Name (Data is for Jun 12th 2020),ZIP,County,Confirmed Deaths,Presumed Deaths
BAINBRIDGE NURSING & REHABILITATION CENTER,10467,Bronx,4,6
BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,10467,Bronx,8,15
BRONX CENTER FOR REHABILITATION & HEALTH CARE,10472,Bronx,5,13
BRONX GARDENS REHABILITATION AND NURSING CENTER,10457,Bronx,6,14
BRONX PARK REHABILITATION & NURSING CENTER,10467,Bronx,7,14
BRONXCARE SPECIAL CARE CENTER,10456,Bronx,7,1
"CONCOURSE REHABILITATION AND NURSING CENTER, INC",10456,Bronx,7,16
EAST HAVEN NURSING & REHABILITATION CENTER,10469,Bronx,7,7
EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,10469,Bronx,0,2
FIELDSTON LODGE CARE CENTER,10463,Bronx,1,14
FORDHAM NURSING AND REHABILITATION CENTER,10463,Bronx,3,0
GOLD CREST CARE CENTER,10469,Bronx,3,7
GRAND MANOR NURSING & REHABILITATION CENTER,10473,Bronx,3,0
HEBREW HOME FOR THE AGED AT RIVERDALE,10471,Bronx,16,8
HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND,10463,Bronx,3,11
KINGS HARBOR MULTICARE CENTER,10469,Bronx,51,8
LACONIA NURSING HOME,10466,Bronx,1,8
MANHATTANVILLE HEALTH CARE CENTER,10463,Bronx,5,1
METHODIST HOME FOR NURSING AND REHABILITATION,10471,Bronx,10,0
MORNINGSIDE NURSING AND REHABILITATION CENTER,10461,Bronx,8,10
MORRIS PARK REHABILITATION AND NURSING CENTER,10469,Bronx,3,20
MOSHOLU PARKWAY NURSING & REHABILITATION CENTER,10467,Bronx,1,18
PARK GARDENS REHABILITATION & NURSING CENTER LLC,10471,Bronx,4,2
PELHAM PARKWAY NURSING CARE AND REHABILITATION FACILITY,10469,Bronx,3,12
PINNACLE MULTICARE NURSING AND REHABILITATION CENTER,10475,Bronx,2,0
"PROVIDENCE REST, INC.",10465,Bronx,11,10
REBEKAH REHAB AND EXTENDED CARE CENTER,10462,Bronx,4,19
REGEIS CARE CENTER,10475,Bronx,3,4
RIVERDALE NURSING HOME,10463,Bronx,1,3
SCHERVIER NURSING CARE CENTER,10463,Bronx,4,36
SPLIT ROCK REHABILITATION AND HEALTH CARE CENTER,10466,Bronx,5,8
ST PATRICKS HOME,10463,Bronx,26,14
ST VINCENT DEPAUL RESIDENCE,10459,Bronx,22,0
THE CITADEL REHAB AND NURSING CENTER AT KINGSBRIDGE,10463,Bronx,7,48
THE PLAZA REHAB AND NURSING CENTER,10468,Bronx,20,49
THROGS NECK REHABILITATION & NURSING CENTER,10465,Bronx,1,34
TRIBORO CENTER FOR REHABILITATION AND NURSING,10456,Bronx,3,12
UNIVERSITY CENTER FOR REHABILITATION AND NURSING,10468,Bronx,2,2
WILLIAMSBRIDGE CENTER FOR REHABILITATION AND NURSING,10461,Bronx,2,1
WORKMEN'S CIRCLE MULTICARE CENTER,10469,Bronx,12,8
ATRIUM CENTER FOR REHABILITATION AND NURSING,11236,Kings,4,8
BEDFORD CENTER FOR NURSING AND REHABILITATION,11249,Kings,8,8
BENSONHURST CENTER FOR REHABILITATION AND HEALTHCARE,11214,Kings,9,27
BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,11219,Kings,9,22
BROOKLYN CENTER FOR REHABILITATION AND RESIDENTIAL,11219,Kings,4,11
BROOKLYN GARDENS NURSING & REHABILITATION CENTER,11233,Kings,1,7
BROOKLYN UNITED METHODIST CHURCH HOME,11208,Kings,2,13
BROOKLYN-QUEENS NURSING HOME,11208,Kings,3,5
BUENA VIDA CONTINUING CARE & REHAB CENTER,11221,Kings,0,4
BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,11207,Kings,6,4
"CATON PARK REHABILITATION AND NURSING CENTER, LLC",11226,Kings,2,3
"COBBLE HILL HEALTH CENTER, INC",11201,Kings,6,50
CONCORD NURSING AND REHABILITATION CENTER,11216,Kings,5,0
CROWN HEIGHTS CENTER FOR NURSING AND REHABILITATION,11213,Kings,1,6
DITMAS PARK CARE CENTER,11226,Kings,4,0
DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,11238,Kings,9,5
DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION,11203,Kings,4,18
FOUR SEASONS NURSING AND REHABILITATION CENTER,11236,Kings,3,1
HAMILTON PARK NURSING AND REHABILITATION CENTER,11228,Kings,1,12
HAYM SOLOMON HOME FOR THE AGED,11214,Kings,6,43
HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,11217,Kings,5,15
KING DAVID CENTER FOR NURSING AND REHABILITATION,11214,Kings,9,25
LINDEN CENTER FOR NURSING AND REHABILITATION,11207,Kings,4,19
MENORAH HOME & HOSPITAL FOR AGED & INFIRM,11235,Kings,14,48
"NEW CARLTON REHAB AND NURSING CENTER, LLC",11238,Kings,1,1
NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,11219,Kings,1,5
