,ZCTA,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,zip_code_ta,Population,Sample Count,Black or Black and other race,White,Median Income,Median Family Income In The Past 12 Months,Black alone,Median Age,Housing Units,Average Unit Size,Density (persons per square mile),Confirmed NH/ACF Deaths,Presumed NH/ACF Deaths,NH/ACF Deaths
0,10001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10001.0,22924.0,1500.0,1687.0,14422.0,62349.0,113382.0,1413.0,36.7,12431.0,1.8440994288472368,34368.078180000004,0,0,0
1,10002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10002.0,74993.0,4100.0,7645.0,24168.0,20295.0,40487.0,6283.0,43.6,33540.0,2.2359272510435297,92722.09567,21,4,25
2,10003,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10003.0,54682.0,3600.0,3491.0,41511.0,68414.0,181132.0,3178.0,32.3,26124.0,2.093171030470066,97263.88889,0,0,0
3,10004,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10004.0,3028.0,250.0,67.0,1902.0,105452.0,201761.0,51.0,37.1,1659.0,1.8251959011452683,5516.071429,0,0,0
4,10005,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10005.0,8831.0,450.0,327.0,6484.0,95137.0,235700.0,221.0,30.1,4374.0,2.0189757658893464,100492.9577,0,0,0
5,10006,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10006.0,3454.0,200.0,71.0,2411.0,99718.0,200859.0,36.0,31.8,1794.0,1.9253065774804905,32728.26087,0,0,0
6,10007,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,10007.0,7023.0,400.0,387.0,5421.0,107138.0,250001.0,332.0,36.0,2731.0,2.571585499816917,43135.80247,0,0,0
7,10009,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,10009.0,57925.0,2400.0,6539.0,35817.0,44302.0,62844.0,5431.0,37.1,29728.0,1.9484997308934335,99427.87682,0,0,0
8,10010,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,10010.0,33730.0,1600.0,2108.0,24684.0,78566.0,213813.0,1784.0,34.7,16390.0,2.057962172056132,81625.64103,0,0,0
9,10011,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10011.0,50472.0,2300.0,3582.0,40331.0,83012.0,215417.0,2819.0,40.6,29128.0,1.7327657237022795,77131.61876,0,0,0
10,10012,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10012.0,23411.0,1500.0,977.0,17411.0,73118.0,158730.0,651.0,33.9,12041.0,1.9442737314176564,74582.04334,0,0,0
11,10013,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10013.0,28709.0,1800.0,1546.0,15961.0,51061.0,136146.0,1260.0,38.0,11986.0,2.3952110795928583,50363.63636,0,0,0
12,10014,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10014.0,30738.0,1600.0,529.0,27314.0,83793.0,201452.0,336.0,38.3,18229.0,1.6862142739590762,58107.27273,2,0,2
13,10016,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,10016.0,51057.0,2100.0,2744.0,36727.0,79903.0,200054.0,1929.0,33.5,28916.0,1.7657006501590815,101847.7444,0,0,0
14,10017,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,10017.0,15801.0,650.0,478.0,11683.0,84724.0,201087.0,370.0,39.7,9905.0,1.5952549217566885,52287.06625,0,0,0
15,10018,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,10018.0,9687.0,650.0,561.0,5791.0,75387.0,143512.0,466.0,32.8,5095.0,1.9012757605495585,16239.13043,0,0,0
16,10019,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,10019.0,43703.0,2100.0,3144.0,29663.0,68093.0,162666.0,2553.0,39.5,25428.0,1.7186959257511405,62401.74672,0,0,0
17,10020,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,10020.0,0.0,0.0,0.0,0.0,-666666666.0,-666666666.0,0.0,-666666666.0,0.0,,0.0,0,0,0
18,10021,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,10021.0,46215.0,1400.0,681.0,38017.0,83930.0,233328.0,420.0,41.0,24996.0,1.848895823331733,115121.372,34,4,38
19,10022,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,10022.0,31125.0,1500.0,732.0,26028.0,91794.0,250001.0,448.0,47.5,18049.0,1.7244722699318522,74588.78505,0,0,0
20,10023,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,10023.0,62435.0,2400.0,3088.0,49795.0,86604.0,219667.0,2610.0,43.3,33693.0,1.853055530822426,124232.1792,0,0,0
21,10024,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,10024.0,59001.0,2300.0,2744.0,49026.0,75606.0,221774.0,2287.0,43.1,28751.0,2.052137316962888,69094.40559,46,23,69
